u,x,cminus,cplus,c55,c56,disc,cV,alpha7
0.7089347336834209,1.4105670839462017,-1763.2707314713862,-1763.2707314713862,-3526.5414629427723,4954443.605386598,-7381279.731691843,0.04351840148032065,12.543055879736565
0.7089084771192797,1.4106193285536657,-1798.0495302179916,-1798.0495302179916,-3596.099060435983,5108926.88698273,-7503779.095462358,0.04364986460311606,12.519795425481421
0.7088822205551387,1.410671577031346,-1795.5663080976906,-1795.5663080976906,-3591.132616195381,5076783.03370757,-7410898.6677279975,0.043781337613857954,12.4966607075046
0.7088559639909977,1.410723829379673,-1732.289685030542,-1732.289685030542,-3464.579370061084,4751065.001441003,-7000949.794311155,0.0439128005345831,12.47365431126133
0.7088297074268567,1.4107760855990772,-1659.8549513732596,-1659.8549513732596,-3319.709902746519,4387655.469078599,-6530148.03792109,0.044044344143022995,12.45075843021473
0.7088034508627157,1.4108283456899882,-1597.790636489282,-1597.790636489282,-3195.581272978564,4079007.009170007,-6104288.364468729,0.0441760768010151,12.427952418367079
0.7087771942985747,1.4108806096528366,-1531.7265236587855,-1531.7265236587855,-3063.453047317571,3754106.345331657,-5631680.808207316,0.04430810659442736,12.405216108147028
0.7087509377344335,1.4109328774880527,-1470.0709515877297,-1470.0709515877297,-2940.1419031754594,3451492.3324329257,-5161534.91892349,0.04444054438176237,12.382529252412644
0.7087246811702925,1.4109851491960668,-1471.9077750532977,-1471.9077750532977,-2943.8155501065953,3452608.6456799745,-5144384.589670502,0.04457350007508857,12.35987220035319
0.7086984246061515,1.4110374247773092,-1520.7706543682666,-1520.7706543682666,-3041.541308736533,3679126.6463695513,-5465533.052727463,0.04470697903806612,12.337244417802996
0.7086721680420105,1.4110897042322106,-1549.519634338957,-1549.519634338957,-3099.039268677914,3808995.9091632236,-5631939.247845154,0.04484089157115468,12.314662278726669
0.7086459114778695,1.4111419875612017,-1569.5498946852654,-1569.5498946852654,-3139.0997893705307,3896675.8148137163,-5732755.771628754,0.044975190836045745,12.292134217118779
0.7086196549137284,1.4111942747647128,-1595.9913425806042,-1595.9913425806042,-3191.9826851612083,4014134.7376247295,-5867785.48812996,0.04510982310235129,12.269669699938605
