c,minK,uK,minA4,uA4,minA7,minOdd,uOdd,minCrT,minCrV,maxv,v_start,v_end
-237.5,-2002.7278451610937,0.6964628657164291,293.5487358454142,0.7099849962490622,2.0015301172172646,3039.896947874211,0.6186121530382596,1.005069401853415,131.0072308087951,331.9887346132924,-237.5,-331.9887346132924
-235.0,-1981.8868894338823,0.6964891222805701,290.65692949653084,0.7099849962490622,2.0015301172172646,2976.2807158856176,0.6186121530382596,1.005069401853415,129.60639895284507,328.514667506947,-235.0,-328.514667506947
-232.5,-1961.0460652631643,0.6965153788447112,287.76512314764744,0.7099849962490622,2.0015301172172646,2913.3372285183973,0.6186121530382596,1.005069401853415,128.205575962837,325.04060040060153,-232.5,-325.04060040060153
-230.0,-1940.2053872411577,0.6965416354088522,284.8733167987639,0.7099849962490622,2.0015301172172646,2851.0664857725505,0.6186121530382596,1.005069401853415,126.80476212301139,321.56653329425603,-230.0,-321.56653329425603
-227.5,-1919.3648606063323,0.6965678919729932,281.9815104498805,0.7099849962490622,2.0015301172172646,2789.4684876480756,0.6186121530382596,1.005069401853415,125.40395772989008,318.0924661879106,-227.5,-318.0924661879106
-225.0,-1898.5244864130495,0.6965941485371343,279.08970410099704,0.7099849962490622,2.0015301172172646,2728.543234144974,0.6186121530382596,1.005069401853415,124.00316309294719,314.61839908156514,-225.0,-314.61839908156514
-222.5,-1877.6842662654701,0.6966204051012753,276.19789775211365,0.7099849962490622,2.0015301172172646,2668.2907252632463,0.6186121530382596,1.005069401853415,122.60237853532367,311.1443319752197,-222.5,-311.1443319752197
-220.0,-1856.8442311010929,0.6966204051012753,273.30609140323014,0.7099849962490622,2.0015301172172646,2608.71096100289,0.6186121530382596,1.005069401853415,121.20160439459056,307.67026486887426,-220.0,-307.67026486887426
-217.5,-1836.004355986611,0.6966466616654163,270.41428505434675,0.7099849962490622,2.0015301172172646,2549.8039413639076,0.6186121530382596,1.005069401853415,119.80084102356341,304.1961977625288,-217.5,-304.1961977625288
-215.0,-1815.1646394542781,0.6966729182295573,267.52247870546336,0.7099849962490622,2.0015301172172646,2491.569666346298,0.6186121530382596,1.005069401853415,118.40008879117259,300.72213065618337,-215.0,-300.72213065618337
-212.5,-1794.3250800335388,0.6966991747936984,264.6306723565799,0.7099849962490622,2.0015301172172646,2434.008135950061,0.6186121530382596,1.005069401853415,116.99934808339407,297.2480635498379,-212.5,-297.2480635498379
-210.0,-1773.4856945856045,0.6967254313578395,261.73886600769646,0.7099849962490622,2.0015301172172646,2377.1193501751977,0.6186121530382596,1.005069401853415,115.5986193042453,293.7739964434925,-210.0,-293.7739964434925
-207.5,-1752.6465073229574,0.6967516879219805,258.8470596588131,0.7099849962490622,2.0015301172172646,2320.9033090217067,0.6186121530382596,1.005069401853415,114.1979028768519,290.29992933714703,-207.5,-290.29992933714703
-205.0,-1731.8075417268542,0.6967779444861215,255.95525330992973,0.7099849962490622,2.0015301172172646,2265.3600124895884,0.6186121530382596,1.005069401853415,112.7971992445907,286.8258622308016,-205.0,-286.8258622308016
-202.5,-1710.9688214073242,0.6968042010502625,253.06344696104628,0.7099849962490622,2.0015301172172646,2210.4894605788436,0.6186121530382596,1.005069401853415,111.396508872316,283.35179512445615,-202.5,-283.35179512445615
-200.0,-1690.1304285737656,0.6968567141785447,250.17164061216286,0.7099849962490622,2.0015301172172646,2156.291653289472,0.6186121530382596,1.005069401853415,109.99583224767615,279.8777280181107,-200.0,-279.8777280181107
