u,x,f3_delta,f3X_delta,f3XX_delta,f4_delta,f4X_delta,f4XX_delta,f4XXX_delta,tf4_delta,f2XX_delta,f2XF_delta,f2FF_delta,f2XY_delta,f2FY_delta,f2YY_delta,e3_emitted,e3_historical_target
0.7127071428571429,1.4031008528848756,9036.53861229685,6528.194533072097,-866.8454590426242,-5889.380362821305,-3349.503067823951,-431.20046989637166,155.83457671613988,-4303.222872112028,2549.1532288620438,-1733.7994825592868,-1130.1315868359272,7024.079803405706,1231.023495188152,2539.869551159542,-2547926690.1034136,134.83593717617416
0.7127035714285714,1.403107883962978,9013.413391116621,6507.481969580805,-864.7753377605574,-5873.596290067117,-3333.0283916074354,-429.11686066963836,155.458796113649,-4291.9177748406455,2526.022239785791,-1726.0178500920954,-1133.312039333822,7002.799704911411,1235.4445216149406,2549.401198381311,9917195920.463627,135.29428530726028
0.7127,1.4031149151115476,8990.952264007237,6486.876522998788,-862.646167119524,-5857.322245644145,-3317.7300774222635,-427.1031195593467,155.07241579284164,-4281.248975324681,2502.9687677143147,-1718.5080087986305,-1136.5780646941,6981.5360532721015,1239.8353491847922,2558.9339113937385,-6622562178.305403,135.75274696950072
0.7126964285714286,1.4031219463305855,8968.029097759945,6465.774237204558,-860.5101068610242,-5841.590086508641,-3301.784195744913,-425.0066771720053,154.68481302801138,-4270.821436600785,2480.143271063101,-1711.3589633332865,-1139.9510305472775,6960.691441774756,1244.2511704694762,2568.567878119036,-3925946960.7877827,136.2113199618068
0.7126928571428571,1.4031289776200928,8944.634943170899,6444.622859935457,-858.3534236691038,-5825.817875711553,-3285.5906875074943,-422.919724501303,154.29351817345972,-4259.6039737986375,2457.5035687188074,-1703.623537326357,-1143.0389370155087,6938.9868608592815,1248.5418702446425,2577.823836330091,10340889619.284866,136.67000209414772
0.7126892857142857,1.4031360089800704,8921.932499625846,6423.660053859815,-856.1405916584683,-5809.510083915926,-3270.6203794607304,-420.91494504617225,153.89214987164166,-4248.907844676605,2434.946499428315,-1696.051311395322,-1146.15976681529,6917.1767941418875,1252.7840478044307,2587.0193802918566,-5710493936.109584,137.1287911873585
0.7126857142857143,1.4031430404105196,8898.839207738198,6402.193239711854,-853.9181464933838,-5793.713943837821,-3255.087690826633,-418.82855929518564,153.4890781301669,-4238.58187234878,2412.6034414115943,-1688.9297568867855,-1149.4139596096868,6895.884533620085,1257.056175618443,2596.3401729763286,-5146144478.713005,137.58768507294752
0.7126821428571428,1.4031500719114414,8875.186816635618,6380.619635484708,-851.6779079002034,-5777.941033351381,-3239.171986245522,-416.73890533332263,153.0828272719627,-4227.453344594407,2390.448888179175,-1681.2425743815695,-1152.3994186545667,6873.774531527997,1261.2097187791103,2605.303353956874,10607751521.547419,138.04668159290355
0.7126785714285714,1.4031571034828365,8852.232084869749,6359.293345426627,-849.3843330282367,-5761.602765729609,-3224.4962666815136,-414.7396442384816,152.66700589801,-4216.748310761407,2368.3816405534108,-1673.635252258972,-1155.3660905723511,6851.4685960618835,1265.2965941310115,2614.1457764041643,-4768010729.464678,138.50577859950283
0.712675,1.4031641351247064,8829.004049740817,6337.513619463135,-847.0819549608474,-5745.749921444957,-3209.374335266805,-412.6671393396544,152.24961966972245,-4206.496105451734,2346.5248760736035,-1666.5123487495785,-1158.5066015672944,6829.72815889902,1269.4265469379966,2623.159644675293,-6379949236.690064,138.96497395511537
0.7126714285714285,1.403171166837052,8805.122483385312,6315.552610741076,-844.7640690115056,-5729.989684781957,-3193.7262791734847,-410.5759864573865,151.8294634885381,-4195.459466975863,2324.8575548418094,-1658.8772153008658,-1161.3892453132387,6807.2503785037625,1273.4419549647978,2631.829229728764,10915377702.784883,139.42426553201162
0.7126678571428571,1.403178198619874,8781.908027582467,6293.864447652891,-842.392356034865,-5713.615599423153,-3179.3210214645346,-408.58024984959457,151.39965056182982,-4184.753248199971,2303.2727121142875,-1651.2525156348343,-1164.190919723598,6784.485309392381,1277.36576418387,2640.3003533847755,-3744557712.064212,139.8836512121681
0.7126642857142856,1.4031852304731742,8758.563101800963,6271.791309421549,-840.0134855761472,-5697.703154392245,-3164.6038568423346,-406.5222565284458,150.9685695672856,-4174.576141795443,2281.8969912668117,-1644.127372952365,-1167.2309745341752,6762.31485559052,1281.355367061171,2649.0188022419115,-7792442195.452513,140.34312888707348
0.7126607142857142,1.4031922623969533,8734.476364876835,6249.48493082159,-837.6247668830036,-5681.970795587052,-3149.210102710216,-404.43160223745184,150.53574399359374,-4163.618872189654,2260.720434406772,-1636.5370445542935,-1169.9873225721133,6739.497635848466,1285.225165384884,2657.3684699788237,11204626407.509472,140.8026964575339
0.7126571428571429,1.403199294391212,8711.02290194281,6227.460331744199,-835.1795579738155,-5665.569034682019,-3135.063555517102,-402.4402318717223,150.092789898616,-4152.904751516509,2239.6155842902936,-1628.884184960926,-1172.644019211594,6716.285833074576,1288.9917879718241,2665.4897419259996,-2480170159.1661987,141.26235183346404
0.7126535714285714,1.4032063264559518,8687.545016490849,6205.07928994224,-832.725651034826,-5649.590663407998,-3120.7249760413088,-400.3930843351673,149.6482902234892,-4142.829123649842,2218.7099050762486,-1621.7924918441493,-1175.566103469408,6693.738248878935,1292.8303393926321,2673.884908313621,-9281313470.22769,141.72209293374902
0.71265,1.4032133585911737,8663.282511285304,6182.475166132965,-830.2709420190623,-5633.876241770192,-3105.595221235373,-398.30742035627975,149.203665298483,-4131.921801141814,2198.021856304133,-1614.2180869172341,-1178.1859566530156,6670.571855100596,1296.5499660763974,2681.9016231645596,11186056975.673662,142.18191768596392
0.7126464285714286,1.4032203907968788,8639.617634977563,6160.135623561602,-827.7587849921198,-5617.486944435753,-3091.6754099117297,-396.3187083931412,148.7487354227611,-4121.22017604582,2177.399648978038,-1606.5543006543849,-1180.7321946306215,6646.971992904134,1300.1720441989125,2689.715301524445,-877727723.6412153,142.6418240262348
0.7126428571428571,1.403227423073068,8615.998062276703,6137.47857213374,-825.233169359855,-5601.416690141484,-3077.7081664889733,-394.2851972886261,148.29140649889965,-4111.201378252157,2156.9583486233446,-1599.4719832600283,-1183.4791121897827,6624.034590956697,1303.8364906579232,2697.716276443707,-10634005892.772545,143.10180989902943
0.7126392857142857,1.4032344554197425,8591.585384567872,6114.562733936183,-822.7135602152077,-5585.72699349698,-3062.838872249598,-392.201065063974,147.83517522371957,-4100.410225079474,2136.7464240147924,-1591.9621685648615,-1186.0246676114607,6600.587425017591,1307.423174681591,2705.466300967947,10686801484.816132,143.56187325696078
0.7126357142857143,1.4032414878369033,8567.708210633655,6091.957692702257,-820.141128187513,-5569.351184237553,-3049.123804795342,-390.2183877834383,147.36947704526767,-4089.6625277969306,2116.608924296968,-1584.2508847189079,-1188.3983511469792,6576.5895112285325,1310.8801556941892,2712.901616330122,919633279.8911806,144.02201206059118
0.7126321428571428,1.4032485203245515,8543.977979616002,6069.045652659889,-817.5487589046013,-5553.212716419925,-3035.5141790807966,-388.1983293093687,146.90022322612876,-4079.7146697390112,2096.630048276947,-1577.1813545171092,-1191.0126963426676,6553.294672915694,1314.3851067386101,2720.5576210173754,-11699965759.250664,144.48222427823606
0.7126285714285714,1.403255552882688,8519.414469058578,6045.826692203544,-814.9658082895759,-5537.525808396485,-3020.906099033505,-386.1161140557759,146.43268180054756,-4069.0427275144925,2076.8829944541744,-1569.7450935851798,-1193.4565411670794,6529.58627505878,1317.8253864909943,2728.002469621588,9864950569.407982,144.94250788576733
0.712625,1.403262585511314,8495.327563474768,6022.963445127222,-812.3366398001627,-5521.171384888704,-3007.3734156637356,-384.1378524023829,145.9568558552382,-4058.260148179862,2057.2237735613617,-1562.002518060761,-1195.6568510503612,6505.230441638103,1321.1152890669105,2735.056001247644,2680817653.050297,145.4028608664167
0.7126214285714285,1.4032696182104305,8471.517675020437,5999.839554373572,-809.6837643073101,-5504.983620449944,-2994.1095018181563,-382.13366372049614,145.476790572398,-4048.36160927824,2037.7086284587565,-1554.922740376381,-1198.1567612558824,6481.584057403917,1324.4679789797312,2742.390508346322,-12525074028.15936,145.86328121057863
0.7126178571428571,1.4032766509800385,8446.813089195168,5976.347641359142,-807.0412848788318,-5489.288859452888,-2979.7612725136396,-380.0554536610097,144.99861368312241,-4037.7948825190106,2018.421380046227,-1547.5565997158815,-1200.4654093774795,6457.630858626941,1327.748268773758,2749.48893113571,8988189041.443771,146.32376691561365
